"Identifier","Organisation_Name","Sub_building_Name","Building_Name","Building_Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates"
412738,NA,NA,NA,"35","BOLEA ROAD",NA,NA,NA,"DERRY BEG","LIMAVADY","LONDONDERRY","BT490QT",269845,424604
412739,NA,NA,NA,"36","ROSE PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490BF",268836,421533
412740,NA,NA,NA,"11","GLENMILL PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RS",267642,421991
412742,NA,NA,NA,"5","LINDSTRAND GARDENS",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TD",268692,422033
412746,NA,NA,NA,"92","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490ET",267216,423406
412747,"POST OFFICE",NA,"ARDGARVAN POST OFFICE","4","BALLYAVELIN ROAD",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NE",268590,420084
412748,NA,NA,NA,"35","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267420,423286
412750,NA,NA,NA,"13","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268362,422332
412752,NA,NA,NA,"26B","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AE",267195,423031
412757,NA,NA,NA,"54","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268159,421573
412760,NA,NA,NA,"57","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267237,422424
